charset,character set
refreshable,refreshable
dependee,dependee
_key,key
ekskey,???
streamtoword,stream to word
offp,???
describables,describables
cron,cron
permalink,permanent link
lpcch,???
lpcb,???
uninstallable,uninstallable
_base,base
maxolen,maximum object length
_raw,raw
_rounds,rounds
cdata,character data
downstreams,down streams
hashify,hashify
descramble,descramble
ptr,pointer
wal,write ahead log
upsert,upsert
zk,zoo keeper
znode,z node
func,function
phx,phoenix
optimizable,optimizable
stmt,statement
aggregators,aggregators
traceid,trace id
scn,sap communication network
pconn,phoenix connection
roundtrip,roundtrip
zookeeper,zoo keeper
keytab,key table
salte,salted
proj,project
experssions,expressions
kvs,key values
apps,applications
schem,schema
rmhost,remote host
rmport,remote port
timetamp,time stamp
rowkey,row key
foreach,for each
abortable,abortable
tablename,table name
asssert,assert
completebulkload,complete bulk load
parentid,parent identifier
spanid,span identifier
hostname,host name
udf,universal disk format
serailize,serialize
repeation,repeation
hbase,hbase
comparision,comparison
descs,descriptions
idx,identifier
arguement,argument
fpath,file path
tname,??? name
ecode,execution code
qf,??? file
txn,transaction
substr,sub string
upserts,upserts
primative,primitive
vals,values
milli,milli
appcpu,???
neccessary,necessary
htable,htable
qplan,query plan
valdator,validator
rvc,row value constructor
parititon,partition
serializer,serializer
sensitve,sensitive
indx,index
outputdir,output directory
aysnc,asynchronous
ptsdb,???
csv,comma separated value
ptable,ptable
vlong,??? long
ioe,input output exception
hcd,hcolumn descriptor
kerberos,kerberos
codition,condition
postional,positional
lkv,list key value
rpc,remote procedure call
ttl,time to live
perc,percentage
lte,lob test entity
metatable,meta table
splitkey,split key
contruct,construct
rp,result precision
ddls,data definition language instructions
prioritymin,priority minimum
agg,aggregate
funcs,functions
getenv,get environment
_protocol,protocol
bitset,bitset
uao,unsafe aligned offset
hashcode,hash code
kbase,k base
klen,k length
vbase,v base
voff,v offset
vlen,v length
rfind,right find
udfs,universal disk formats
py,python
jsc,java spark context
lpad,left padding
rpad,right padding
kdf,???
sasl,simple authentication security level
unref,unreference
transfered,transferred
nio,new input output
backend,backend
newversion,new version
